ID,number_of_loops,nested_loop_level,loop_input_dependent_level,number_of_defined_threads,number_of_started_threads,number_of_join_threads,number_of_defined_locks,number_of_acquired_locks_threads,number_of_released_locks,number_of_usage_of_extra,number_of_usage_of_values_list,number_of_usage_of_select_related
42458b48dc04a7f9504b2dcf0fb83d8f35642cd3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75e2403e3c2986230efb32f1fddd2ca972821aa1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9e57b097ac0fe77097e71ac3109d42c31737ff55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05a8f4a523bcc094d41e4db9c9ed088284252359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f9c64311f9eae83f4f0fd9e2e28cc73ca747f23d,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dd83125f98d153e7572815ff514a3b9f54156507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1925f793093581c47a5c6b2e414506b1cbae280d,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cbe951ebd3f04c3863af2b1e2b59985b18b614f5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2903e6f0a5bd27ed64f6f2b2f2bde728e6d7cbc3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85e6e99d87e50cbcc3ef9767e75ca6735490794a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10f5ebe6acb4467b71602be4c4fdb44c44fa26b6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1925f793093581c47a5c6b2e414506b1cbae280d,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65936c8c9c58d35e9ba694b645ae7a20c6a9d96e,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9581ccba793fd2b21cfd661c5c7c228d1f44d983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7e8ec2406cb3dde69d297f6c54c624894247566a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484d5719bfc544cbf7f806c4b21a844111b35595,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0504a1c18a305469288122cba48db452633f0357,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67eabd57c8cc5e24bbc171ffd311dba107e79b45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e26076ffcb08a81fada86cc03c61c19488713124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ce5559c1766f228a02e31defb428c29e13030529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14237b2339187c05943432d4dba49135a2854cdd,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ea766e47406690c82eaeb551ba63d99ecae41802,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab392c89f137ac86ea23a9135336171513db0867,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0dba9090c6e42e6d9250b3666fdcd7346facaf5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c99eaba53453eb9bf06c19b13d018552a4d0a169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29195722b8a6be7f783bac7cf681915a29eb8fa7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e5dcbb59b753cb1d46e234d8f6180285b8b86ad,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395777f8b50476a108c6a1df0386069175ee519e,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11d843b5c5207a022c5c8b4c70595ef33cda833d,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29195722b8a6be7f783bac7cf681915a29eb8fa7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
faff7448bb3f4aa336de436fa6766c9824c4df9a,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6ddc76c2c96528023e7ff96cd7eaf3482f33fc9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9fbaa9aad13fc56bcbf2577ae1c58a7bcffe4e5e,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e1f65ca362359d847435dd299269ef809090ece5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4f8278c89ad16da05fec4fdfc61fe44798b92720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1939f247b3ae06244a8d50fa7dabbcc975c6fc4c,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ae925ac7124c350f4b04605d380ec5e2ec350f7f,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ef78334a54dba7c65256908e59beee42692100fe,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0576505021d3b98f4b805bf12ec09587d44e2f6d,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e540cdd1328b2b21e29a95405c301b9313b7c346,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131b6ec8486125a1fccfa18e5689036f59d76560,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1939f247b3ae06244a8d50fa7dabbcc975c6fc4c,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ae925ac7124c350f4b04605d380ec5e2ec350f7f,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0576505021d3b98f4b805bf12ec09587d44e2f6d,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1939f247b3ae06244a8d50fa7dabbcc975c6fc4c,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e540cdd1328b2b21e29a95405c301b9313b7c346,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747b66411f61c3165435f31a81fd84e2aa8fe024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0f6a24fa439e992bc7919aa2d949c05077899adc,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bfef13e9c1d456ece113cf9ac646098f89ad66db,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9b7c68a918b17eb053809b198d7c9abfc142f30a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
db99845855b2ecbfecca9a095062b96c3e27703f,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7875dffd588b7b09366a75dc8172a4397c52d249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a471cda634819a161700bee24f93e7a6d44af6ca,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2f57c439657c213690c9620b36ae702834170ac,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3aaea1de59ab73fe73a01de6b07334dcb2308fcb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ece06d578f8651c5f59cbbc3846ff97de7e3e4fb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3335f6618bf18f214593573dff0292c21c9d2bf3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19288fd9a5a8ee2d70ca0fb6fe55ea417c578042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9a68e01c7688ce17c7abbee8753af718a9d3d588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e299261ab0e7b4acc4bf44724d34166bd2652b6e,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79f88c595ba55a0f7a10b7c8e62492cd61d9cc99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b47597791bacb9ca4d6ebdaab34a9fef88ef13d5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4cbd9ea717720535f6d701ec738d99eca69b4d8d,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3c75c394db4cb8f88996bd65163cfcb28a6e1a05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7ee60223439ef362fa63e38c240cf1d4fbda78a3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
